14	-6	-9803	0	-1	3	
17	0	-9797	0	0	3	
16	1	-9801	0	0	2	
19	0	-9801	1	0	2	
21	-2	-9800	2	1	2	
21	-5	-9802	2	0	2	
17	-2	-9801	2	0	1	
16	-1	-9803	2	0	2	
13	-2	-9808	1	0	2	
14	-7	-9810	1	0	2	
15	-7	-9810	0	0	2	
15	-4	-9807	0	0	3	
12	-1	-9811	0	0	3	
10	1	-9812	0	0	2	
8	3	-9814	0	0	2	
2	7	-9807	0	0	1	
5	5	-9808	1	0	1	
4	4	-9815	1	0	1	
5	8	-9813	1	0	1	
7	4	-9811	1	0	1	
8	-1	-9807	1	1	1	
12	0	-9804	1	1	0	
11	-7	-9812	2	1	0	
17	-8	-9816	2	1	0	
18	-9	-9814	2	0	1	
16	-11	-9819	2	1	1	
14	-13	-9820	1	0	2	
11	-13	-9815	0	0	2	
11	-14	-9813	0	-1	2	
10	-15	-9809	-1	-2	2	
7	-10	-9806	-1	-2	2	
5	-9	-9804	-1	-1	2	
-2	-6	-9806	-1	-1	3	
-4	-5	-9802	0	-1	3	
-3	-4	-9806	0	-1	2	
-2	2	-9808	1	-1	2	
1	7	-9807	1	-1	2	
0	6	-9803	2	-1	3	
4	5	-9806	2	0	2	
6	5	-9805	1	0	1	
9	4	-9805	1	1	1	
10	0	-9806	1	1	1	
10	-3	-9807	1	1	1	
13	-5	-9806	2	0	1	
15	-8	-9805	2	0	1	
17	-6	-9800	2	1	1	
16	-7	-9800	2	1	1	
11	-8	-9802	2	1	1	
9	-7	-9802	2	0	0	
6	-8	-9795	2	1	0	
2	-9	-9794	1	1	0	
2	-6	-9796	1	0	1	
3	0	-9801	1	-1	1	
7	-1	-9800	1	-1	2	
7	-1	-9799	2	0	2	
9	-2	-9797	3	1	1	
9	-3	-9792	4	2	1	
7	-2	-9786	4	3	1	
10	-6	-9791	5	4	2	
14	-11	-9804	5	2	1	
16	-9	-9802	5	1	1	
15	-10	-9804	5	0	2	
21	-9	-9803	4	-1	2	
24	-12	-9805	3	-1	0	
25	-16	-9803	3	-1	1	
27	-13	-9803	2	-1	1	
26	-12	-9807	3	0	1	
24	-10	-9810	3	0	2	
18	-9	-9807	3	-1	2	
8	-2	-9803	2	0	2	
1	2	-9802	2	0	3	
-6	6	-9796	2	1	2	
-2	11	-9800	2	1	1	
-2	15	-9809	3	1	1	
1	14	-9803	1	1	1	
5	14	-9807	0	1	-1	
9	12	-9809	0	-1	0	
11	6	-9813	0	0	0	
14	4	-9810	0	-1	0	
18	-2	-9806	0	-1	0	
20	-11	-9799	1	-1	0	
20	-16	-9800	1	-1	1	
18	-17	-9795	1	0	0	
14	-17	-9797	1	2	0	
13	-14	-9800	1	2	1	
5	-12	-9812	2	2	1	
0	-10	-9810	0	1	1	
-2	-5	-9817	0	0	1	
